id|utterance|description|emotion|date_created|status|gender|age|level|audio_recording|user_id
249|He graduated from Cornell University.|In an {emotion} voice, {user_id} says {transcription}. emphasising on {He} and {Cornell University}.|Excited|2022-06-19 15:11:35.059024|Complete|Female|20s|10|wavs/recorded_audio_OSBmuuf.webm|3
250|The house is a typical three-bedroom family home.|{transcription} said {user_id} in a {emotion} voice. Placing emphasis on {typical}.|Sad|2022-06-19 15:13:53.226462|Complete|Female|20s|6|wavs/recorded_audio_DTKHnUN.webm|3
251|The State flag is used on governmental buildings and embassies.|{user_id} said {transcription} With a {emotion} voice. Placing emphasis on {State flag} and {and}.|Sad|2022-06-21 10:43:31.790854|Complete|Female|20s|5|wavs/recorded_audio_ghtmPKz.webm|3
252|Then they spat on her and hated her.|{transcription} said {user_id} in a {emotion} voice. Placing emphasis on {Then} and {her}.|Disgust|2022-06-21 10:45:43.896411|Complete|Female|20s|4|wavs/recorded_audio_B0zMLXP.webm|3
253|Besides, this was first defeat of Denizli on third term.|{user_id} said {transcription} With a {emotion} voice. Placing emphasis on {Besides}, {first defeat} and {third term}.|Surprised|2022-06-21 10:49:35.561132|Complete|Female|20s|5|wavs/recorded_audio_EgJ82qL.webm|3
254|He was a son of Conall Crandomna.|Placing emphasis on {He} and {Conall Crandomna}, {user_id} said {transcription}.|Surprised|2022-06-21 10:51:31.050356|Complete|Female|20s|4|wavs/recorded_audio_cV8mKKr.webm|3
255|"The album includes the first commercially released recording of ""Memorial""."|In an {emotion} voice, {user_id} says {transcription}. emphasising on {of}.|Sarcastic|2022-06-21 10:52:27.262463|Complete|Female|20s|2|wavs/recorded_audio_NzhIwd2.webm|3
256|Some items can be imbued with better stats.|With a {emotion} voice, {user_id} said {transcription}. Placing emphasis on {Some items}, {imbued} and {stats}.|Disgust|2022-06-21 10:53:50.071394|Complete|Female|20s|2|wavs/recorded_audio_k2hiVqD.webm|3
257|With the title Painstained.|With a {emotion} voice, {user_id} said {transcription}. Placing emphasis on {Painstained}.|Neutral|2022-06-21 10:54:22.787427|Complete|Female|20s|0|wavs/recorded_audio_EYJ5SGB.webm|3
258|In these works, Glass uses repetitive structures often associated with musical minimalism.|With a {emotion} voice, {user_id} said {transcription}. Placing emphasis on {Glass}, {repetitive} and {musical minimalism}.|Sad|2022-06-21 10:55:06.945185|Complete|Female|20s|5|wavs/recorded_audio_hZg3FRY.webm|3
259|He was a member of the moderate Republican Main Street Partnership.|{transcription} said {user_id} in a {emotion} voice.|Neutral|2022-06-21 10:55:50.433198|Complete|Female|20s|0|wavs/recorded_audio_rJxYBwU.webm|3
260|Their size and shape are irregular too because they are not perfect spheres.|{transcription} said {user_id} in a {emotion} voice. Placing emphasis on {not}.|Neutral|2022-06-21 10:56:44.170931|Complete|Female|20s|0|wavs/recorded_audio_DaLZxuh.webm|3
261|Today, the Velosolex is again manufactured in France.|{transcription} said {user_id} in a {emotion} voice. Placing emphasis on {Today} and {in France}.|Sarcastic|2022-06-21 10:59:05.694508|Complete|Female|20s|5|wavs/recorded_audio_g0I6984.webm|3
262|You're a great writer, aren't you?|{user_id} said {transcription} With a {emotion} voice. Placing emphasis on {aren't you?}.|Surprised|2022-06-21 10:59:33.599990|Complete|Female|20s|5|wavs/recorded_audio_uZE3dKD.webm|3
263|The current holders are Alistair Burt and Henry Bellingham.|In an {emotion} voice, {user_id} says {transcription}. emphasising on {current holders}.|Surprised|2022-06-21 11:00:01.848567|Complete|Female|20s|5|wavs/recorded_audio_0od48Xz.webm|3
264|The album was highly acclaimed by critics.|With a {emotion} voice, {user_id} said {transcription}. Placing emphasis on {highly} and {by critics}.|Excited|2022-06-21 11:00:57.553552|Complete|Female|20s|7|wavs/recorded_audio_3Z8o9aq.webm|3
265|The Official Opposition was the Liberal Party, led by Alexander Mackenzie.|{user_id} said {transcription}.|Neutral|2022-06-21 11:01:52.287232|Complete|Female|20s|0|wavs/recorded_audio_lZcW4z7.webm|3
266|Andy Diagram also rejoined the band as a trumpet player during the festival tour.|{user_id} said {transcription} With a {emotion} voice. Placing emphasis on {Andy Diagram}, {rejoined the band} and {as a trumpet player}.|Surprised|2022-06-21 11:03:03.072568|Complete|Female|20s|5|wavs/recorded_audio_O7bIOhm.webm|3
267|They divorced eight years later.|Placing emphasis on {divorced} and {eight years later}, {user_id} said {transcription}.|Disgust|2022-06-21 11:03:53.184215|Complete|Female|20s|4|wavs/recorded_audio_OUgkVLj.webm|3
268|Bundesliga club Eintracht Frankfurt.|{user_id} said {transcription} With a {emotion} voice. Placing emphasis on {club} and {Eintracht}.|Disgust|2022-06-21 11:08:06.910413|Complete|Female|20s|2|wavs/recorded_audio_CNZ5A4Q.webm|3
269|There are numerous international hotels within the Jiading district.|With a {emotion} voice, {user_id} said {transcription}. Placing emphasis on {hotels} and {district}.|Sarcastic|2022-06-21 11:09:29.416874|Complete|Female|20s|1|wavs/recorded_audio_Mts9COR.webm|3
270|"The song was featured in the film ""Bitter Moon"", directed by Roman Polanski."|"In an {emotion} voice, {user_id} says {transcription}. emphasising on {featured} and {film ""Bitter Moon""}."|Sarcastic|2022-06-21 11:10:03.270265|Complete|Female|20s|1|wavs/recorded_audio_oYSsuh8.webm|3
271|The vision for the new suburb included a technical institute, church and schools.|With a {emotion} voice, {user_id} said {transcription}. Placing emphasis on {new} and {church and schools}.|Sad|2022-07-27 10:35:41.424268|Complete|Female|20s|6|wavs/recorded_audio_u6wYnL4.webm|3
272|The Conservatorium usually presents one major opera production each year.|In an {emotion} voice, {user_id} says {transcription}. emphasising on {one} and {each year}.|Sad|2022-07-11 10:56:58.741880|Complete|Female|20s|6|wavs/recorded_audio_gh5PZX9.webm|3
273|The universities are strongly focused on fields like computer science, engineering or business schools.|{transcription} said {user_id} in a {emotion} voice. Placing emphasis on {strongly} and {like computer science, engineering or business schools}.|Excited|2022-07-11 10:07:24.379716|Complete|Female|20s|7|wavs/recorded_audio_N06MaJS.webm|3
274|He attended the naming ceremony.|With a {emotion} voice, {user_id} said {transcription}.|Sarcastic|2022-07-11 10:08:22.451092|Complete|Female|20s|0|wavs/recorded_audio_p0WuSlc.webm|3
275|The program imitates normal Shabbat programing at camp.|Placing emphasis on {normal} ,{Shabbat} and {at camp}, {user_id} said {transcription}.|Angry|2022-07-11 10:38:41.859565|Complete|Female|20s|7|wavs/recorded_audio_qieTcyg.webm|3
276|The team's mascots are Ozzie T. Cougar and his sister Annie T. Cougar.|In an {emotion} voice, {user_id} says {transcription}. emphasising on {team's}, {Ozzie T. Cougar} and {and his sister Annie T. Cougar}.|Angry|2022-07-11 10:53:10.635215|Complete|Female|20s|8|wavs/recorded_audio_ekebBzk.webm|3
277|It may be the source of the X-ray emission from the vicinity.|With a {emotion} voice, {user_id} said {transcription}. Placing emphasis on {may be}, {X-ray} and {vicinity}.|Angry|2022-07-11 11:12:27.138791|Complete|Female|20s|7|wavs/recorded_audio_3EsISUd.webm|3
278|The exterior scenes were shot at Broken Hill in New South Wales, Australia.|{user_id} said {transcription} With a {emotion} voice. Placing emphasis on {exterior}, {Broken Hill} and {Australia}.|Sarcastic|2022-07-11 11:13:04.036161|Complete|Female|20s|5|wavs/recorded_audio_kooE5q8.webm|3
279|Euro-American settlers quickly replaced the native population.|Placing emphasis on {Euro-American} and {quickly}, {user_id} said {transcription}.|Neutral|2022-07-11 10:58:50.136410|Complete|Female|20s|0|wavs/recorded_audio_tLgBEPR.webm|3
280|The most significant of the inherited designs was the Herald airliner.|{user_id} said {transcription} With a {emotion} voice. Placing emphasis on {significant} and {Herald airliner}.|Happy|2022-07-11 11:00:13.100088|Complete|Female|20s|5|wavs/recorded_audio_KNrlrN5.webm|3
281|For example, one could rely on certification authorities or a web of trust.|With a {emotion} voice, {user_id} said {transcription}. Placing emphasis on {For example}, {could}, {or} and {trust}.|Disgust|2022-07-11 10:28:17.406709|Complete|Female|20s|4|wavs/recorded_audio_zpcGac1.webm|3
282|That night French sentries at the hospital camp noticed about six Maori prowling.|With a {emotion} voice, {user_id} said {transcription}. Placing emphasis on {That night}, {six Maori} and {Word}.|Neutral|2022-07-11 11:15:28.471886|Complete|Female|20s|0|wavs/recorded_audio_wjoiwyd.webm|3
283|Three people in a boat float on the water at sunset.|Placing emphasis on {Three people}, {boat float} and {water at sunset}, {user_id} said {transcription}.|Surprised|2022-07-11 10:30:33.669631|Complete|Female|20s|5|wavs/recorded_audio_NpmegxE.webm|3
284|Two guys working in a field with plants behind a tractor playing plants as it moves along.|In an {emotion} voice, {user_id} says {transcription}. emphasising on {guys}, {field}, {playing}, {plants}, {tractor} and {moves along}.|Sad|2022-07-11 11:01:22.680582|Complete|Female|20s|5|wavs/recorded_audio_cZJo5dX.webm|3
285|A bicyclist riding down the road wearing helmet and black jacket.|With a {emotion} voice, {user_id} said {transcription}. Placing emphasis on {riding down the road} and {wearing helmet and black jacket}.|Angry|2022-07-11 11:07:24.305809|Complete|Female|20s|8|wavs/recorded_audio_vrnWmLG.webm|3
286|A little boy is raking leaves.|Placing emphasis on {little boy} and {raking}, {user_id} said {transcription}.|Excited|2022-07-11 11:16:14.261476|Complete|Female|20s|6|wavs/recorded_audio_vSLKerL.webm|3
287|This model is further advanced in higher levels of undergraduate studies.|In an {emotion} voice, {user_id} says {transcription}. emphasising on {advanced}, {further advanced} {levels} and {undergraduate studies}.|Sarcastic|2022-07-11 11:16:53.891468|Complete|Female|20s|4|wavs/recorded_audio_8NzTFPM.webm|3
288|The Monday night fight lived up to its billing.|{transcription} said {user_id} in a {emotion} voice. Placing emphasis on {lived up}.|Happy|2022-07-11 11:17:24.322310|Complete|Female|20s|4|wavs/recorded_audio_v420niy.webm|3
289|Ilam thus remains one of Iran's more undeveloped provinces.|In an {emotion} voice, {user_id} says {transcription}. emphasising on {Iran's}.|Neutral|2022-07-11 11:19:26.970290|Complete|Female|20s|0|wavs/recorded_audio_rJwe8tq.webm|3
290|Topolobampo has a tropical arid desert climate.|In an {emotion} voice, {user_id} says {transcription}. emphasising on {tropical} and {arid desert climate}.|Sad|2022-07-11 11:24:04.491422|Complete|Female|20s|6|wavs/recorded_audio_V4MXaGo.webm|3
291|We can do this even faster.|{transcription} said {user_id} in a {emotion} voice. Placing emphasis on {We can} and {even faster}.|Disgust|2022-07-11 11:24:40.881590|Complete|Female|20s|3|wavs/recorded_audio_evnMe5Q.webm|3
292|The rays are unsegmented lepidotrichia, resulting in a rather stiff structure.|In an {emotion} voice, {user_id} says {transcription}. emphasising on {unsegmented} and {rather stiff structure}.|Sarcastic|2022-07-11 11:28:39.907663|Complete|Female|20s|0|wavs/recorded_audio_dNoyDRy.webm|3
293|During the engagement neither ship suffered damage or casualties.|{user_id} said {transcription} With a {emotion} voice. Placing emphasis on {ship}, {suffered damage} and {casualties}.|Angry|2022-07-11 11:29:20.726638|Complete|Female|20s|6|wavs/recorded_audio_rmIFSfB.webm|3
294|It is also the Reception-room for evening parties.|With a {emotion} voice, {user_id} said {transcription}. Placing emphasis on {also}.|Neutral|2022-07-27 10:36:59.700356|Complete|Female|20s|0|wavs/recorded_audio_jnbeUmw.webm|3
295|The dinosaurs are breeding!|{transcription} said {user_id} in a {emotion} voice. Placing emphasis on {breeding}.|Sarcastic|2022-07-11 11:30:44.018215|Complete|Female|20s|0|wavs/recorded_audio_6g0EJdS.webm|3
296|They ran the canoe in and climbed the high earth bank.|{user_id} said {transcription} With a {emotion} voice.|Neutral|2022-07-11 11:31:19.408855|Complete|Female|20s|0|wavs/recorded_audio_5TJDqtV.webm|3
297|It is not an attempt to smash the market.|In an {emotion} voice, {user_id} says {transcription}. emphasising on {attempt} and {the market}.|Excited|2022-07-11 11:32:57.201408|Complete|Female|20s|6|wavs/recorded_audio_2mk2K7P.webm|3
298|She bought her daily copy of The Times at her local corner shop|Placing emphasis on {her}, {daily copy}, {The Times} and {local corner shop}, {user_id} said {transcription}.|Angry|2022-07-11 11:33:27.518086|Complete|Female|20s|7|wavs/recorded_audio_chNkCoz.webm|3
299|The narrow and low-lying peninsula of Hafun, northeast of Mogadishu, was especially affected.|Placing emphasis on {narrow and}, {northeast} and {especially}, {user_id} said {transcription}.|Happy|2022-07-29 12:11:54.728342|Complete|Female|20s|2|wavs/recorded_audio_XxNtyxA.webm|3
300|"""Because I'll give you a good screenplay or a sincere apology,"" said Mamet."|{user_id} said {transcription} With a {emotion} voice. Placing emphasis on {Because} and {or}.|Sarcastic|2022-07-11 11:39:32.625325|Complete|Female|20s|0|wavs/recorded_audio_qKGEFFH.webm|3
301|Fecundity is similar to fertility, the natural capability to produce offspring.|{user_id} said {transcription} With a {emotion} voice. Placing emphasis on {Fecundity}, {fertility}, {natural capability} and {offspring}.|Angry|2022-07-11 11:41:40.613856|Complete|Female|20s|8|wavs/recorded_audio_F01Kz7P.webm|3
302|Frankel used astrology to make financial trading decisions.|With a {emotion} voice, {user_id} said {transcription}. Placing emphasis on {Frankel}, {used astrology} and {trading}.|Angry|2022-07-11 11:42:52.227421|Complete|Female|20s|6|wavs/recorded_audio_46cWls4.webm|3
303|Thus the buffer is local.|{user_id} said {transcription} With a {emotion} voice.|Neutral|2022-07-11 11:43:17.335632|Complete|Female|20s|0|wavs/recorded_audio_qL4JVHj.webm|3
304|His Victoria Cross was displayed at the National Museum of Military History in Johannesburg.|{user_id} said {transcription} With a {emotion} voice. Placing emphasis on {Victoria Cross} and {displayed}.|Happy|2022-07-11 11:45:26.306567|Complete|Female|20s|2|wavs/recorded_audio_GquvI3g.webm|3
305|The Quaker family lived in modest conditions; his father was a miller and clockmaker.|{transcription} said {user_id} in a {emotion} voice. Placing emphasis on {his father was a miller}.|Neutral|2022-07-11 11:46:06.344361|Complete|Female|20s|0|wavs/recorded_audio_avUCnL0.webm|3
306|Also, there is a pub opening at the station main entrance.|{user_id} said {transcription} With a {emotion} voice. Placing emphasis on {main entrance}.|Neutral|2022-07-11 11:47:04.958590|Complete|Female|20s|0|wavs/recorded_audio_ae7wN2L.webm|3
307|Kudirka also urged the country to become a source of enlightenment and virtue.|In an {emotion} voice, {user_id} says {transcription}. emphasising on {Kudirka}, {the country}, {source} and {and virtue}.|Angry|2022-07-11 11:48:24.199778|Complete|Female|20s|8|wavs/recorded_audio_d1482gw.webm|3
308|Many of these paints feature a hammered look, hence the name of the company.|With a {emotion} voice, {user_id} said {transcription}. Placing emphasis on {Many}, {paints} and {hammered}.|Sarcastic|2022-07-29 12:13:47.015010|Complete|Female|20s|1|wavs/recorded_audio_7aAzWg9.webm|3
309|She served as editor of many Air Force professional journals.|With a {emotion} voice, {user_id} said {transcription}. Placing emphasis on {served}, {editor}, {many} and {professional}.|Surprised|2022-07-11 11:49:22.443321|Complete|Female|20s|5|wavs/recorded_audio_8s6uEgC.webm|3
310|Moffett and Gladyce Lloyd Roberts.|{transcription} said {user_id} in a {emotion} voice. Placing emphasis on {and}.|Excited|2022-07-11 11:50:25.403831|Complete|Female|20s|8|wavs/recorded_audio_dwZYS9N.webm|3
311|The most important commercially-grown species is okra.|{transcription} said {user_id} in a {emotion} voice. Placing emphasis on {important}, {commercially-grown} and {species}.|Disgust|2022-07-11 11:51:29.207037|Complete|Female|20s|3|wavs/recorded_audio_zSVMDUF.webm|3
312|It is also known as epiphora and occasionally as antistrophe.|{transcription} said {user_id} in a {emotion} voice. Placing emphasis on {epiphora and occasionally}.|Surprised|2022-07-29 12:16:19.447046|Complete|Female|20s|2|wavs/recorded_audio_nbxl5YE.webm|3
313|The confession affirms that only Jesus Christ can be head of the church.|In an {emotion} voice, {user_id} says {transcription}. emphasising on {affirms}, {Jesus Christ} and {church}.|Sad|2022-07-11 11:57:17.295885|Complete|Female|20s|9|wavs/recorded_audio_P18Xs8n.webm|3
314|The general secretary of the party is K. Kandasamy.|With a {emotion} voice, {user_id} said {transcription}. Placing emphasis on {K. Kandasamy}.|Sarcastic|2022-07-11 11:59:34.300150|Complete|Female|20s|0|wavs/recorded_audio_fo1fFZ6.webm|3
315|Online gaming can become addictive to many gamers.|In an {emotion} voice, {user_id} says {transcription}. emphasising on {gaming} and {many}.|Neutral|2022-07-11 11:59:55.461785|Complete|Female|20s|0|wavs/recorded_audio_KtD7sAV.webm|3
316|They had walked together up the hill to the hotel.|{transcription} said {user_id} in a {emotion} voice. Placing emphasis on {together}, {the hill} and {hotel},|Disgust|2022-07-11 12:01:05.432239|Complete|Female|20s|2|wavs/recorded_audio_riq3c4b.webm|3
317|Wethermill leaned forward and shook his head with a smile.|In an {emotion} voice, {user_id} says {transcription}. emphasising on {leaned}, {and} and {with a smile}.|Disgust|2022-07-11 12:02:15.372839|Complete|Female|20s|2|wavs/recorded_audio_HXiAFP6.webm|3
318|He possessed a very warlike spirit.|In an {emotion} voice, {user_id} says {transcription}. emphasising on {possessed} and {warlike}.|Surprised|2022-07-11 12:02:41.512916|Complete|Female|20s|4|wavs/recorded_audio_Kzw46nZ.webm|3
319|Settlement in Caboolture was accelerated with the discovery of gold at Gympie.|Placing emphasis on {Caboolture}, {discovery} and {gold at Gympie}, {user_id} said {transcription}.|Surprised|2022-07-11 12:04:32.619338|Complete|Female|20s|3|wavs/recorded_audio_1L61v1Y.webm|3
320|He introduced ideas that indirectly challenged the discriminatory taxes imposed by Islamic authorities.|{transcription} said {user_id} in a {emotion} voice. Placing emphasis on {indirectly}.|Happy|2022-07-11 12:06:22.592562|Complete|Female|20s|1|wavs/recorded_audio_u2xubGw.webm|3
321|Menard began his career constructing pole buildings with friends from college.|In an {emotion} voice, {user_id} says {transcription}. emphasising on {Menard began}, {friends} and {college}.|Angry|2022-07-11 12:08:10.781536|Complete|Female|20s|7|wavs/recorded_audio_He9Mect.webm|3
322|They count Superman as well as Superwoman amongst their friends.|{transcription} said {user_id} in a {emotion} voice. Placing emphasis on {Superman as well as Superwoman} and {friends}.|Excited|2022-07-11 12:08:37.723851|Complete|Female|20s|7|wavs/recorded_audio_8Kz1gZi.webm|3
323|Some in the media panned the writing as amateurish.|Placing emphasis on {in the media} and {amateurish}, {user_id} said {transcription}.|Disgust|2022-07-11 12:09:35.325200|Complete|Female|20s|1|wavs/recorded_audio_pqr9AKM.webm|3
324|Several roads, towns, and cemeteries had to be relocated.|In an {emotion} voice, {user_id} says {transcription}. emphasising on {towns, and cemeteries} and {relocated}.|Angry|2022-07-11 12:10:36.580332|Complete|Female|20s|7|wavs/recorded_audio_2yelJJK.webm|3
325|Thomas Cromwell was the first editor of magazine.|{user_id} said {transcription} With a {emotion} voice. Placing emphasis on {first editor}.|Sad|2022-07-11 12:13:31.437495|Complete|Female|20s|6|wavs/recorded_audio_0qU1vGN.webm|3
326|More recently it has undergone extensive redevelopment with clubs, restaurants and media businesses.|{transcription} said {user_id} in a {emotion} voice. Placing emphasis on {More recently}, {extensive} and {and}.|Surprised|2022-07-11 12:14:09.626506|Complete|Female|20s|5|wavs/recorded_audio_DzKOzXK.webm|3
327|The child was immediately given to Lawayss' family.|In an {emotion} voice, {user_id} says {transcription}. emphasising on {child} and {Lawayss' family}.|Disgust|2022-07-11 12:15:49.151921|Complete|Female|20s|1|wavs/recorded_audio_EWn4z82.webm|3
328|The city of Turin honored the contributions that Ferraris made to science.|In an {emotion} voice, {user_id} says {transcription}. emphasising on {Turin} and {Ferraris made to}.|Disgust|2022-07-29 12:17:59.268359|Complete|Female|20s|3|wavs/recorded_audio_yg3VR1S.webm|3
329|Author Lewis describes Reid as a consummate artist of the black and white image.|Placing emphasis on {Reid} and {of the black and white}, {user_id} said {transcription}.|Sarcastic|2022-07-11 12:18:45.958893|Complete|Female|20s|0|wavs/recorded_audio_EkglHH3.webm|3
330|He pointed out the flaw in his brother’s argument.|Placing emphasis on {the flaw} and {argument}, {user_id} said {transcription}.|Excited|2022-07-11 12:19:15.459747|Complete|Female|20s|6|wavs/recorded_audio_DVCtQZM.webm|3
331|Is that program proprietary software, or is it open source?|Placing emphasis on {that program}, {or} and {open source}, {user_id} said {transcription}.|Surprised|2022-07-11 12:20:46.640935|Complete|Female|20s|5|wavs/recorded_audio_d4TCa5D.webm|3
332|The former mayor is giving a speech on Friday.|With a {emotion} voice, {user_id} said {transcription}. Placing emphasis on {former mayor} and {a speech}.|Angry|2022-07-11 12:21:10.842159|Complete|Female|20s|6|wavs/recorded_audio_lgdb7fI.webm|3
333|Only symmetric equilibria can be evolutionarily stable states in single population models.|{transcription} said {user_id} in a {emotion} voice. Placing emphasis on {symmetric}, {evolutionarily} and {in single}.|Neutral|2022-07-11 12:24:04.740919|Complete|Female|20s|0|wavs/recorded_audio_cn8xucN.webm|3
334|The Iron Guard was forced out of the government.|With a {emotion} voice, {user_id} said {transcription}.|Happy|2022-07-11 12:25:29.478574|Complete|Female|20s|2|wavs/recorded_audio_cenHauK.webm|3
335|The third vacancy was created after Alderman Rositano's death.|Placing emphasis on {The third} and {after Alderman Rositano's}, {user_id} said {transcription}.|Disgust|2022-07-11 12:28:08.072183|Complete|Female|20s|0|wavs/recorded_audio_F39yV2u.webm|3
336|The grips can be either wood or imitation mother-of-pearl handles.|In an {emotion} voice, {user_id} says {transcription}. emphasising on {wood} and {or imitation}.|Surprised|2022-07-11 12:28:54.811474|Complete|Female|20s|4|wavs/recorded_audio_cUVnXWo.webm|3
337|In the series Hogan sorts out problems for the locals.|With a {emotion} voice, {user_id} said {transcription}. Placing emphasis on {Hogan}.|Neutral|2022-07-11 12:29:56.712903|Complete|Female|20s|0|wavs/recorded_audio_t2jQjvR.webm|3
338|There is one free car parking area for this station.|In an {emotion} voice, {user_id} says {transcription}. emphasising on {one free} and {for this station}.|Excited|2022-07-11 12:30:42.114812|Complete|Female|20s|5|wavs/recorded_audio_9QXvddF.webm|3
339|Why don't you play and let's smash them?|{user_id} said {transcription} With a {emotion} voice. Placing emphasis on {let's smash them}.|Happy|2022-07-11 12:31:06.855283|Complete|Female|20s|0|wavs/recorded_audio_4HoFTXz.webm|3
340|Here, at last, he met with success, establishing a medical practice that prospered quickly.|{transcription} said {user_id} in a {emotion} voice. Placing emphasis on {Here}, {at last}, {success} and {prospered quickly}.|Disgust|2022-07-14 12:46:56.872201|Complete|Female|20s|5|wavs/recorded_audio_aDNcd43.webm|3
341|Adobe bricks are laid by course.|{user_id} said {transcription} With a {emotion} voice. Placing emphasis on {arelaid}.|Sad|2022-07-14 12:48:15.735299|Complete|Female|20s|6|wavs/recorded_audio_3cqiafG.webm|3
342|All of the British settlements north of Albany were accordingly abandoned.|Placing emphasis on {settlements}, {north of Albany} and {accordingly abandoned}, {user_id} said {transcription}.|Disgust|2022-07-14 12:49:45.935800|Complete|Female|20s|3|wavs/recorded_audio_BBGqB4N.webm|3
343|Joasaph is known to have authored a number of theological works.|In an {emotion} voice, {user_id} says {transcription}. emphasising on {Joasaph}, {a number} and {theological}.|Sad|2022-07-14 12:52:13.941503|Complete|Female|20s|6|wavs/recorded_audio_zkstsWP.webm|3
344|Young trees display upright oval growth, but the plants spread and mound with age.|{transcription} said {user_id} in a {emotion} voice. Placing emphasis on {Young trees} and {but}.|Sarcastic|2022-07-14 12:54:26.146642|Complete|Female|20s|3|wavs/recorded_audio_lLVQxcz.webm|3
345|The development is due to be completed within seven years.|{user_id} said {transcription} With a {emotion} voice. Placing emphasis on {within seven years}.|Sad|2022-07-14 12:55:01.156590|Complete|Female|20s|8|wavs/recorded_audio_TTKbqLs.webm|3
346|It lies within the City of Charles Sturt.|In an {emotion} voice, {user_id} says {transcription}.|Neutral|2022-07-14 12:56:35.170406|Complete|Female|20s|0|wavs/recorded_audio_PpLi2R5.webm|3
347|England and Yorkshire cricketer Paul Jarvis grew up in Marske.|{transcription} said {user_id} in a {emotion} voice. Placing emphasis on {England and Yorkshire} and {Marske}.|Happy|2022-07-14 12:57:49.868428|Complete|Female|20s|2|wavs/recorded_audio_Y74SPVJ.webm|3
348|It was created by trauma therapist Peter A. Levine.|{user_id} said {transcription} With a {emotion} voice. Placing emphasis on {trauma therapist Peter A. Levine}.|Excited|2022-07-14 12:58:36.300647|Complete|Female|20s|7|wavs/recorded_audio_dEDHHqZ.webm|3
349|No one noticed her.|{user_id} said {transcription} With a {emotion} voice.|Neutral|2022-07-14 12:59:05.572076|Complete|Female|20s|0|wavs/recorded_audio_85wBrWi.webm|3
350|We will not take up her early history.|{user_id} said {transcription} With a {emotion} voice. Placing emphasis on {not take up her}.|Surprised|2022-07-14 12:59:36.616877|Complete|Female|20s|3|wavs/recorded_audio_hj0SUNy.webm|3
351|Increment the order quantity if you require more than one item.|{user_id} said {transcription} With a {emotion} voice. Placing emphasis on {order quantity} and {one}.|Angry|2022-07-14 13:00:18.211213|Complete|Female|20s|8|wavs/recorded_audio_OKCThLO.webm|3
352|Along with Kerak, the castle owed sixty knights to the kingdom.|With a {emotion} voice, {user_id} said {transcription}. Placing emphasis on {kingdom}.|Neutral|2022-07-14 13:01:41.784608|Complete|Female|20s|0|wavs/recorded_audio_qKr0SVn.webm|3
353|"The first programme was ""The Morning Show with Alex Bell and Susan Morrison""."|In an {emotion} voice, {user_id} says {transcription}. emphasising on {first}, {The Morning Show}, {Susan}.|Sarcastic|2022-07-14 13:02:30.784706|Complete|Female|20s|0|wavs/recorded_audio_ce2lDcA.webm|3
354|He could not have stolen the animal.|In an {emotion} voice, {user_id} says {transcription}. emphasising on {not}.|Excited|2022-07-14 13:03:37.594625|Complete|Female|20s|6|wavs/recorded_audio_hTiLQGF.webm|3
355|He left his family so he could secretly develop and construct the Rescue System.|{user_id} said {transcription} With a {emotion} voice. Placing emphasis on {He left his family} and {secretly}.|Angry|2022-07-14 13:04:33.693069|Complete|Female|20s|7|wavs/recorded_audio_usgHd6v.webm|3
356|Pitts was called Kings' Crossing at the time.|{user_id} said {transcription} With a {emotion} voice. Placing emphasis on {Pitts}, {Kings' Crossing} and {at the time}.|Surprised|2022-07-29 12:19:12.173675|Complete|Female|20s|4|wavs/recorded_audio_g3CqEho.webm|3
357|Resnik is located at the northern edge of the dark area of the surface.|In an {emotion} voice, {user_id} says {transcription}. emphasising on {northern}, {dark area} and {surface}.|Disgust|2022-07-14 13:06:58.536169|Complete|Female|20s|3|wavs/recorded_audio_y6fBQsp.webm|3
358|Like all biblical names, Stephen has forms in all major world languages.|{transcription} said {user_id} in a {emotion} voice. Placing emphasis on {all} and {forms}.|Disgust|2022-07-14 13:07:57.856080|Complete|Female|20s|2|wavs/recorded_audio_uberf7h.webm|3
359|The staggered platforms are linked by footbridge.|{transcription} said {user_id} in a {emotion} voice. Placing emphasis on {platforms are linked}.|Sad|2022-07-14 13:08:40.825379|Complete|Female|20s|6|wavs/recorded_audio_qMpjT9A.webm|3
360|These schooners were used for nearby coastal trade of cotton, wheat and apples.|{user_id} said {transcription} With a {emotion} voice. Placing emphasis on {nearby} and {and}.|Disgust|2022-07-14 13:10:28.641974|Complete|Female|20s|2|wavs/recorded_audio_YTY08n1.webm|3
361|Hugh Lofting was educated at Mount Saint Mary's College in Spinkhill, Derbyshire.|Placing emphasis on {Mount Saint Mary's College}, {Spinkhill} and {Derbyshire}, {user_id} said {transcription}.|Excited|2022-07-14 13:13:02.618857|Complete|Female|20s|8|wavs/recorded_audio_IKHrAGi.webm|3
362|There is a large gap, or diastema, separating the cheek teeth from the incisors.|With a {emotion} voice, {user_id} said {transcription}. Placing emphasis on {large gap} and {the cheek}.|Neutral|2022-07-14 13:16:22.441028|Complete|Female|20s|0|wavs/recorded_audio_BguWtP7.webm|3
363|Canada requires tax deduction at source on payments of compensation by employers.|In an {emotion} voice, {user_id} says {transcription}. emphasising on {tax deduction}, {at source} and {compensation by employers}.|Disgust|2022-07-14 13:17:18.943089|Complete|Female|20s|3|wavs/recorded_audio_8AcCwf7.webm|3
